payment_id,order_id,payment_date,amount,currency,status
PAY-2001,ORD-1001,2026-08-01,120.00,USD,succeeded
PAY-2002,ORD-1002,2026-08-01,45.50,USD,succeeded
PAY-2003,ORD-1003,2026-08-02,300.00,usd,succeeded
PAY-2004,ORD-1004,2026-08-02,89.99,USD,succeeded
PAY-2005,ORD-1005,2026-08-03,1250.00,USD,succeeded
PAY-2006,ORD-1006,2026-08-03,60.00,USD,succeeded
PAY-2007,ORD-1007,2026-08-04,15.25,USD,succeeded
PAY-2008,ORD-1008,2026-08-04,500.00,USD,succeeded
PAY-2009,ORD-1009,2026-08-05,72.10,USD,succeeded
PAY-2010,ORD-1010,2026-08-05,18.00,USD,succeeded
PAY-2011,ORD-1011,2026-08-06,180.00,USD,succeeded
PAY-2012,ORD-1012,2026-08-06,42.00,USD,succeeded
PAY-2016,ORD-1016,2026-08-08,80.00,USD,succeeded
PAY-2017,ORD-1017,2026-08-09,65.00,USD,succeeded
PAY-2018,ORD-1018,2026-08-09,220.00,USD,refunded
PAY-2019,ORD-1019,2026-08-10,50.00,USD,succeeded
PAY-2020a,ORD-1020,2026-08-10,30.00,USD,succeeded
PAY-2020b,ORD-1020,2026-08-10,30.00,USD,succeeded
PAY-2021,ORD-1021,2026-08-11,18.75,USD,succeeded
PAY-2022,ORD-1022,2026-08-11,260.00,USD,succeeded
PAY-2099,ORD-9999,2026-08-12,44.00,USD,succeeded
